ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Total_Spending,Total_Purchases,Children,Customer_Tenure_Days,R_Value,F_Value,M_Value,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Customer_Segment,Education_Level,Family_Size,Has_Children,Avg_Order_Value,Purchase_Frequency_Rate,Wine_Ratio,Meat_Ratio,Product_Diversity,Premium_Product_Ratio,Web_Purchase_Ratio,Store_Purchase_Ratio,Campaign_Acceptance_Rate,Has_Complained,Engagement_Score,CLV_Estimate,Customer_Value_Score,Is_High_Spender,Is_Active,Is_Campaign_Responder,Is_Web_Shopper,Is_Deal_Seeker,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,Final_ML_Cluster
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,67,1617,25,0,663,58,25,1617,3,5,5,355,13,Loyal Customers,3,1,0,62.19230769230769,0.0376506024096385,0.3924598269468479,0.3374536464771323,6,0.8362175525339925,0.3076923076923077,0.1538461538461538,0.1666666666666666,0,28.4,2824.2123287671234,83.33333333333334,1,1,1,0,0,0,1,0,1
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,70,27,6,2,113,38,6,27,4,1,1,411,6,New Customers,3,3,1,3.857142857142857,0.0526315789473684,0.3928571428571428,0.2142857142857142,6,0.6785714285714286,0.1428571428571428,0.2857142857142857,0.0,0,7.0,23.142857142857142,25.0,0,1,0,0,0,1,0,0,0
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,59,776,21,0,312,26,21,776,4,4,4,444,12,Champions,3,2,0,35.27272727272727,0.0670926517571885,0.5482625482625483,0.1634491634491634,6,0.8545688545688546,0.3636363636363636,0.4545454545454545,0.0,0,21.8,740.7272727272727,75.0,0,1,0,0,0,0,1,0,1
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,40,53,8,1,139,26,8,53,4,2,1,421,7,Potential Loyalists,3,3,1,5.888888888888889,0.0571428571428571,0.2037037037037037,0.3703703703703703,6,0.7592592592592593,0.2222222222222222,0.4444444444444444,0.0,0,9.2,47.11111111111112,33.33333333333333,0,1,0,0,0,1,0,0,0
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,43,422,19,1,161,94,19,422,1,4,3,143,8,At Risk,5,3,1,21.1,0.1172839506172839,0.408983451536643,0.2789598108747045,6,0.7966903073286052,0.25,0.3,0.0,0,20.0,400.9,41.66666666666667,0,0,0,0,0,1,0,1,0
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,57,716,22,1,293,16,22,716,5,4,4,544,13,Champions,4,3,1,31.130434782608692,0.0748299319727891,0.7252440725244073,0.1366806136680613,5,0.8619246861924686,0.2608695652173913,0.4347826086956521,0.0,0,23.2,684.8695652173913,83.33333333333334,0,1,0,0,0,0,0,0,0
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,53,590,21,1,593,34,21,590,4,4,3,443,11,Loyal Customers,3,2,1,26.818181818181817,0.0353535353535353,0.3976311336717428,0.2774957698815566,6,0.7597292724196277,0.3181818181818182,0.3181818181818182,0.0,0,22.2,914.9775840597758,66.66666666666666,0,1,0,0,0,0,0,0,0
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,39,169,10,1,417,32,10,169,4,2,2,422,8,Potential Loyalists,5,3,1,15.363636363636363,0.0239234449760765,0.4470588235294118,0.3294117647058823,6,0.7941176470588235,0.3636363636363636,0.3636363636363636,0.0,0,11.6,175.52428393524283,41.66666666666667,0,1,0,0,0,1,0,0,0
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,50,46,6,1,388,19,6,46,5,1,1,511,7,New Customers,5,3,1,6.571428571428571,0.0154241645244215,0.2978723404255319,0.5106382978723404,5,0.8723404255319149,0.4285714285714285,0.2857142857142857,0.1666666666666666,0,9.8,41.913111545988265,33.33333333333333,0,1,1,0,0,1,0,0,0
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,74,49,2,2,108,68,2,49,2,1,1,211,4,About to Sleep,5,4,1,16.333333333333332,0.018348623853211,0.56,0.12,5,0.7,0.3333333333333333,0.0,0.1666666666666666,0,8.0,32.666666666666664,8.333333333333332,0,1,1,0,1,1,0,-1,0
