ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Total_Spending,Total_Purchases,Children,Customer_Tenure_Days,R_Value,F_Value,M_Value,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Customer_Segment,Education_Level,Family_Size,Has_Children,Avg_Order_Value,Purchase_Frequency_Rate,Wine_Ratio,Meat_Ratio,Product_Diversity,Premium_Product_Ratio,Web_Purchase_Ratio,Store_Purchase_Ratio,Campaign_Acceptance_Rate,Has_Complained,Engagement_Score,CLV_Estimate,Customer_Value_Score,Is_High_Spender,Is_Active,Is_Campaign_Responder,Is_Web_Shopper,Is_Deal_Seeker,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,Final_ML_Cluster,PCA1,PCA2,PCA1_3D,PCA2_3D,PCA3_3D,PCA_Opt_1
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,67,1617,25,0,663,58,25,1617,3,5,5,355,13,Loyal Customers,3,1,0,62.19230769230769,0.0376506024096385,0.3924598269468479,0.3374536464771323,6,0.8362175525339925,0.3076923076923077,0.1538461538461538,0.1666666666666666,0,28.4,2824.2123287671234,83.33333333333334,1,1,1,0,0,0,1,0,1,6626.182785288358,2271.169194471405,6626.182785288358,2271.169194471405,309.59701582299374,6626.182785288365
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,70,27,6,2,113,38,6,27,4,1,1,411,6,New Customers,3,3,1,3.857142857142857,0.0526315789473684,0.3928571428571428,0.2142857142857142,6,0.6785714285714286,0.1428571428571428,0.2857142857142857,0.0,0,7.0,23.142857142857142,25.0,0,1,0,0,0,1,0,0,0,-5322.326523438642,-906.1204971616307,-5322.326523438642,-906.1204971616307,-13.022631895124562,-5322.326523438678
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,59,776,21,0,312,26,21,776,4,4,4,444,12,Champions,3,2,0,35.27272727272727,0.0670926517571885,0.5482625482625483,0.1634491634491634,6,0.8545688545688546,0.3636363636363636,0.4545454545454545,0.0,0,21.8,740.7272727272727,75.0,0,1,0,0,0,0,1,0,1,19981.791119650516,-727.9385516418008,19981.791119650516,-727.9385516418008,12.966641033801636,19981.791119650545
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,40,53,8,1,139,26,8,53,4,2,1,421,7,Potential Loyalists,3,3,1,5.888888888888889,0.0571428571428571,0.2037037037037037,0.3703703703703703,6,0.7592592592592593,0.2222222222222222,0.4444444444444444,0.0,0,9.2,47.11111111111112,33.33333333333333,0,1,0,0,0,1,0,0,0,-24997.123920243135,35.204192424845814,-24997.123920243135,35.204192424845814,-183.41819029411397,-24997.12392024316
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,43,422,19,1,161,94,19,422,1,4,3,143,8,At Risk,5,3,1,21.1,0.1172839506172839,0.408983451536643,0.2789598108747045,6,0.7966903073286052,0.25,0.3,0.0,0,20.0,400.9,41.66666666666667,0,0,0,0,0,1,0,1,0,6646.3429424161,-764.3994369949896,6646.3429424161,-764.3994369949896,-49.55905169572111,6646.3429424160495
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,57,716,22,1,293,16,22,716,5,4,4,544,13,Champions,4,3,1,31.13043478260869,0.0748299319727891,0.7252440725244073,0.1366806136680613,5,0.8619246861924686,0.2608695652173913,0.4347826086956521,0.0,0,23.2,684.8695652173913,83.33333333333334,0,1,0,0,0,0,0,0,0,10887.855539502227,-394.4277658620549,10887.855539502227,-394.4277658620549,-71.4197677665523,10887.85553950222
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,53,590,21,1,593,34,21,590,4,4,3,443,11,Loyal Customers,3,2,1,26.818181818181817,0.0353535353535353,0.3976311336717428,0.2774957698815566,6,0.7597292724196277,0.3181818181818182,0.3181818181818182,0.0,0,22.2,914.9775840597758,66.66666666666666,0,1,0,0,0,0,0,0,0,4014.837375412433,-50.67672640680894,4014.837375412433,-50.67672640680894,304.5414683024479,4014.837375412404
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,39,169,10,1,417,32,10,169,4,2,2,422,8,Potential Loyalists,5,3,1,15.363636363636363,0.0239234449760765,0.4470588235294118,0.3294117647058823,6,0.7941176470588235,0.3636363636363636,0.3636363636363636,0.0,0,11.6,175.52428393524283,41.66666666666667,0,1,0,0,0,1,0,0,0,-18186.252907635855,-22.342142897892018,-18186.252907635855,-22.342142897892018,21.516410571042286,-18186.252907635877
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,50,46,6,1,388,19,6,46,5,1,1,511,7,New Customers,5,3,1,6.571428571428571,0.0154241645244215,0.2978723404255319,0.5106382978723404,5,0.8723404255319149,0.4285714285714285,0.2857142857142857,0.1666666666666666,0,9.8,41.913111545988265,33.33333333333333,0,1,1,0,0,1,0,0,0,-21296.59591063674,-110.0632010366437,-21296.59591063674,-110.0632010366437,23.122663207409573,-21296.595910636737
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,74,49,2,2,108,68,2,49,2,1,1,211,4,About to Sleep,5,4,1,16.333333333333332,0.018348623853211,0.56,0.12,5,0.7,0.3333333333333333,0.0,0.1666666666666666,0,8.0,32.666666666666664,8.333333333333332,0,1,1,0,1,1,0,-1,0,-45973.07543024622,973.7778610948136,-45973.07543024622,973.7778610948136,-396.76637265780744,-45973.07543024623
1994,1983,Graduation,Married,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,41,19,4,1,226,11,4,19,5,1,1,511,7,New Customers,3,3,1,3.8,0.0176211453744493,0.25,0.3,5,0.55,0.2,0.4,0.0,0,5.4,15.2,33.33333333333333,0,1,0,0,0,1,0,0,0,-290.9490234618861,-1134.7323812396535,-290.9490234618861,-1134.7323812396535,113.2314667322737,-290.9490234618934
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,48,61,6,0,593,59,6,61,3,1,2,312,6,Promising,1,2,0,8.714285714285714,0.0101010101010101,0.0967741935483871,0.1774193548387097,6,0.4516129032258064,0.2857142857142857,0.4285714285714285,0.0,0,7.6,84.94637964774951,25.0,0,1,0,0,0,1,0,0,0,-44121.31510558458,996.0875772024762,-44121.31510558458,996.0875772024762,-29.675005050169887,-44121.315105584596
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,65,1102,16,0,226,82,16,1102,1,3,4,134,8,At Risk,3,1,0,64.82352941176471,0.0704845814977973,0.1758839528558476,0.4351767905711695,6,0.815049864007253,0.1764705882352941,0.4705882352941176,0.0,0,16.4,1037.1764705882354,41.66666666666667,1,1,0,0,0,0,1,0,1,11435.120078778244,149.19586828383706,11435.120078778244,149.19586828383706,-258.5256621508356,11435.120078778244
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,72,310,15,2,226,53,15,310,3,3,3,333,9,Need Attention,4,3,1,19.375,0.066079295154185,0.7491961414790996,0.1704180064308681,6,0.9292604501607716,0.375,0.3125,0.0,0,16.2,290.625,50.0,0,1,0,0,0,1,0,0,0,7697.823425028597,-979.19886622904,7697.823425028597,-979.19886622904,41.573327361606744,7697.82342502859
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,37,46,5,0,627,38,5,46,4,1,1,411,6,New Customers,3,2,0,7.666666666666667,0.0079617834394904,0.0638297872340425,0.3617021276595745,6,0.5531914893617021,0.1666666666666666,0.5,0.0,0,6.6,65.84931506849315,25.0,0,1,0,0,0,1,0,0,0,-34310.15188927851,526.6664220861973,-34310.15188927851,526.6664220861973,84.13567952038989,-34310.15188927852
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,78,1315,26,0,582,23,26,1315,4,5,5,455,14,Champions,5,1,0,48.7037037037037,0.0445969125214408,0.7644376899696048,0.087386018237082,6,0.8966565349544073,0.2592592592592592,0.4444444444444444,0.5,0,32.6,2019.1354642313545,91.66666666666666,1,1,1,0,0,0,1,0,1,31225.433667459874,324.35235963555533,31225.433667459874,324.35235963555533,359.84115881396406,31225.433667459874
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,44,96,9,2,552,51,9,96,3,2,2,322,7,Promising,3,4,1,9.6,0.0162748643761302,0.5463917525773195,0.1958762886597938,6,0.7628865979381443,0.3,0.3,0.0,0,10.6,130.66520547945206,33.33333333333333,0,1,0,0,0,1,0,0,0,-9804.640163057637,-494.7728917466645,-9804.640163057637,-494.7728917466645,234.89290452483885,-9804.640163057622
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,78,317,13,0,667,20,13,317,4,3,3,433,10,Potential Loyalists,3,2,0,22.642857142857142,0.0194610778443113,0.2641509433962264,0.1194968553459119,6,0.8553459119496856,0.2857142857142857,0.4285714285714285,0.0,0,14.4,537.9074363992172,58.333333333333336,0,1,0,0,0,1,0,0,0,-13867.392182213407,206.86769217621713,-13867.392182213407,206.86769217621713,280.3738950457855,-13867.392182213429
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,75,1782,26,1,458,91,26,1782,1,5,5,155,11,Cannot Lose Them,4,3,1,66.0,0.0566448801742919,0.5675827257431295,0.2793045429052159,5,0.8468872686483455,0.4074074074074074,0.3333333333333333,0.1666666666666666,0,29.0,2153.227397260274,66.66666666666666,1,0,1,0,0,0,1,1,1,25455.78794312723,1140.6986893953847,25455.78794312723,1140.6986893953847,-131.81028847177538,25455.787943127303
2278,1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,39,133,8,1,603,86,8,133,1,2,2,122,5,At Risk,2,2,1,14.77777777777778,0.0132450331125827,0.0298507462686567,0.1417910447761194,6,0.3955223880597014,0.2222222222222222,0.3333333333333333,0.0,0,9.2,195.3095890410959,16.666666666666664,0,1,0,0,0,1,0,0,0,-17830.91083671258,-53.88536517772718,-17830.91083671258,-53.88536517772718,206.57235097620003,-17830.910836712603
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,42,316,12,0,690,41,12,316,3,3,3,333,9,Need Attention,3,2,0,24.307692307692307,0.0173661360347322,0.2712933753943217,0.2302839116719243,6,0.7192429022082019,0.3076923076923077,0.3846153846153846,0.0,0,13.6,551.4183350895679,50.0,0,1,0,0,0,1,0,0,0,-14586.094438831497,255.4368292886188,-14586.094438831497,255.4368292886188,290.94532337457144,-14586.094438831475
5376,1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,45,1730,43,1,539,42,43,1730,3,5,5,355,13,Loyal Customers,3,3,1,39.31818181818182,0.0796296296296296,0.0005777007510109,0.9965337954939342,6,0.997689196995956,0.0,0.0,0.0,0,43.2,2496.650684931507,83.33333333333334,1,1,0,0,1,0,0,-1,0,-49008.179731894284,4654.446273600681,-49008.179731894284,4654.446273600681,-590.3192712055921,-49008.1797318943
1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,75,972,17,1,553,63,17,972,2,3,4,234,9,At Risk,5,3,1,54.0,0.0306859205776173,0.8910585817060637,0.0883864337101747,3,0.9794450154162384,0.1111111111111111,0.5,0.1666666666666666,0,20.6,1390.832876712329,50.0,0,1,1,0,0,0,0,0,0,7022.143246718522,626.9313843335576,7022.143246718522,626.9313843335576,133.34773455000743,7022.143246718522
4047,1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,70,544,20,1,169,0,20,544,5,4,3,543,12,Loyal Customers,5,3,1,25.904761904761905,0.1176470588235294,0.7045871559633028,0.1871559633027523,5,0.9302752293577982,0.2857142857142857,0.4285714285714285,0.0,0,20.8,518.0952380952381,75.0,0,1,0,0,0,0,0,0,0,13681.285759238446,-843.3509966433,13681.285759238446,-843.3509966433,-53.582318006505034,13681.285759238395
1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,73,444,20,1,468,69,20,444,2,4,3,243,9,At Risk,3,3,1,21.142857142857142,0.0426439232409381,0.6067415730337079,0.0606741573033707,6,0.755056179775281,0.3333333333333333,0.238095238095238,0.0,0,21.6,542.1839530332682,50.0,0,1,0,0,1,1,0,2,0,-10933.260368423973,206.9672727571143,-10933.260368423973,206.9672727571143,48.820094539274805,-10933.260368423973
7892,1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,55,75,8,0,543,89,8,75,1,2,2,122,5,At Risk,3,1,0,8.333333333333334,0.0147058823529411,0.0789473684210526,0.3289473684210526,6,0.6052631578947368,0.2222222222222222,0.3333333333333333,0.0,0,9.4,99.17808219178085,16.666666666666664,0,1,0,0,0,1,0,0,0,-33043.04328612812,510.09079673817735,-33043.04328612812,510.09079673817735,28.99381258764663,-33043.04328612814
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,48,257,14,2,398,4,14,257,5,3,3,533,11,Potential Loyalists,3,4,1,17.133333333333333,0.0350877192982456,0.6705426356589147,0.1162790697674418,6,0.7984496124031008,0.3333333333333333,0.2666666666666666,0.0,0,15.4,261.5532420091324,66.66666666666666,0,1,0,0,0,1,0,0,0,1705.0178970672932,-769.3685177553559,1705.0178970672932,-769.3685177553559,146.91449020990876,1705.0178970672569
5255,1986,Graduation,Single,51381.5,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,38,637,27,1,494,19,27,637,5,5,4,554,14,Champions,3,2,1,22.75,0.0545454545454545,0.0078369905956112,0.0047021943573667,6,0.0172413793103448,0.9642857142857144,0.0,0.0,0,27.2,831.341095890411,91.66666666666666,0,1,0,1,0,0,0,-1,0,-237.63984117248037,44.262887961948536,-237.63984117248037,44.262887961948536,194.68155520400614,-237.6398411725022
