,PC1,PC2,PC3
Year_Birth,-2.4735965814403644,1.0351695784241939,-0.45807353307081644
Income,20601.18886853368,-33.52656784402076,2.0150039222772236
Kidhome,-0.28425522684103527,-0.10645653527379269,0.03687503213336838
Teenhome,0.022760612525740197,-0.1356280440729536,0.10790941758342643
Recency,0.19362541135308617,0.9379800198166083,0.34013642326009563
MntWines,245.51107139160342,176.9010721407202,-38.74595048881909
MntFruits,21.30399511140163,10.88594149693611,-2.5481299774112807
MntMeatProducts,152.33387400365717,99.68228539275594,-38.359491450795375
MntFishProducts,30.11569593074455,16.82619001435911,-2.916240230440603
MntSweetProducts,22.74497741204809,10.103163063149163,-1.0035502938427125
MntGoldProds,21.516597755044607,16.03284788335918,0.22245501435889573
NumDealsPurchases,-0.24816022382691982,0.19361268911447096,0.36033597269193074
NumWebPurchases,1.3710182597554121,0.641440300997372,0.23791904351923815
NumCatalogPurchases,1.9782056327309794,0.9886234122050434,-0.2804301653989676
NumStorePurchases,2.217008259687142,0.6945186914261161,0.02068046168176096
NumWebVisitsMonth,-1.5558566881152938,0.26334564408137207,0.5524033164747476
AcceptedCmp3,-0.002858512625141495,0.025088775070570554,-0.017908086608277543
AcceptedCmp4,0.060930585731689725,0.028787228711306363,-0.019557497700132407
AcceptedCmp5,0.10785471745228534,0.0485840644098354,-0.0448862853628016
AcceptedCmp1,0.08436223043803595,0.03390980292939832,-0.04007994879913468
AcceptedCmp2,0.012717019508793719,0.008245686433096039,-0.007124527754298084
Complain,-0.0025937874203729094,-0.001270610839757828,0.0037036495672395082
Z_CostContact,-7.508323119746155e-22,-3.317653758032028e-19,8.120596075123493e-19
Z_Revenue,-7.822920394672757e-21,-3.015789997529914e-18,3.897202196155067e-18
Response,0.062450629855551935,0.08393950193130018,0.024081600187041637
Age,2.4735965814403653,-1.0351695784240404,0.4580735330719676
Total_Spending,493.5262116044993,330.43149999127996,-83.3509074269502
Total_Purchases,5.318071928346611,2.5181950937430044,0.3385053124939581
Children,-0.26149461431523646,-0.24208457934674024,0.14478444971684729
Customer_Tenure_Days,-4.875730280084017,95.27519587182158,154.6422808643446
R_Value,0.19362541135308645,0.9379800198166083,0.3401364232599326
F_Value,5.318071928346612,2.5181950937430035,0.33850531249395643
M_Value,493.5262116044996,330.4314999912797,-83.35090742695051
R_Score,-0.012568761325212266,-0.050067165179559364,-0.015034577059874129
F_Score,1.0205460025430801,0.4383298997104928,0.04494231958319798
M_Score,1.1750660304669713,0.5768037169634564,-0.07340663942094743
RFM_Score,2.1830432716848405,0.9650664514943847,-0.04349889689762462
Education_Level,0.17346668204532645,-0.049972840113997476,-0.023825390118499584
Family_Size,-0.2674062186021697,-0.2504112548909158,0.1452273655181384
Has_Children,-0.18454986275992738,-0.12399612578014012,0.08888821316804174
Avg_Order_Value,21.275129011309602,14.169741087137705,-5.243471773275698
Purchase_Frequency_Rate,0.0649723536780275,-0.06052031513102423,-0.10367084219129664
Wine_Ratio,0.07738098034824514,-0.016196057451165518,0.014907893307617676
Meat_Ratio,0.02183901153165765,0.010639705158323002,-0.012231807120177593
Product_Diversity,0.17876631470120533,0.15275805508055024,0.006169754038469427
Premium_Product_Ratio,0.08348862323862806,-0.00022930021005770158,0.00022812764883362038
Web_Purchase_Ratio,0.011150625316022008,0.0028662016463904642,0.007841030391210745
Store_Purchase_Ratio,0.008484042604468658,-0.01518592986259064,-0.003810763284289178
Campaign_Acceptance_Rate,0.054242778393535966,0.0380925099142511,-0.017579124339600447
Has_Complained,-0.0025937874203729107,-0.0012706108397578253,0.0037036495672395117
Engagement_Score,5.6578139314459746,3.0279743415303018,0.238036483713676
CLV_Estimate,582.7238364554933,522.6735859119218,98.06131162306745
Customer_Value_Score,18.192027264040345,8.042220429119885,-0.36249080748019485
Is_High_Spender,0.27948368969433546,0.23177031648232294,-0.06942817695210204
Is_Active,-0.00019211479291028283,-0.0026714201017969184,-0.007201814318035147
Is_Campaign_Responder,0.13306782371256637,0.11681784597417565,-0.03925018536423562
Is_Web_Shopper,6.890110315120026e-05,-0.0007471689495913787,-0.0009379445085476681
Is_Deal_Seeker,-0.051701976031242755,0.006396995886530979,0.021742288803034006
KMeans_Cluster,-0.38488833080206775,-0.1787860677428957,0.035979280075692746
Hierarchical_Cluster,0.31599792114909275,0.18034857568312068,-0.06082030289716614
DBSCAN_Cluster,-0.08058901615186016,0.019162346223627842,0.04166112216292825
Final_ML_Cluster,0.31599792114909275,0.18034857568312068,-0.060820302897166285
