Feature,F_Statistic,P_Value
Is_High_Spender,4911.504850409781,0.0
CLV_Estimate,2962.2382042393333,0.0
M_Score,2554.064391801792,0.0
Income,2063.5233564139676,1.8752e-319
Avg_Order_Value,1996.1006655095036,8.63771272173e-312
Has_Children,1671.9631759152658,3.769075364196543e-273
Customer_Value_Score,1079.5239873376233,2.1716931679166074e-193
Engagement_Score,943.3380968701925,4.9681013025479674e-173
NumWebVisitsMonth,826.4060196167818,7.765335437246546e-155
F_Score,794.1969651015496,1.0585536231595243e-149
Family_Size,760.4451232758505,2.914479162009806e-144
Campaign_Acceptance_Rate,483.12121928371727,4.5199091948680027e-97
Is_Campaign_Responder,366.67055394948545,8.790108473323847e-76
Meat_Ratio,219.3747235732134,2.0695024787779736e-47
Premium_Product_Ratio,206.43803814715366,7.795347804219607e-45
Product_Diversity,109.79764201874511,4.121353246710619e-25
Is_Deal_Seeker,85.1788836730894,6.144999284528862e-20
Purchase_Frequency_Rate,24.30612415352935,8.824048447940605e-07
Customer_Tenure_Days,13.010854295560641,0.0003165078290781797
Age,11.050078148457931,0.0009012043344303555
Has_Complained,8.385785180392618,0.003818524849826939
Wine_Ratio,8.15141168281415,0.004342594113034446
Store_Purchase_Ratio,7.949546804142689,0.004852485796616615
Education_Level,6.672126581441455,0.009856460411212737
Is_Web_Shopper,2.4933022434441225,0.11447362604140213
R_Score,0.4794094311878436,0.48876212942101305
Is_Active,0.31554172248429485,0.5743558312966632
Web_Purchase_Ratio,0.029413115721375338,0.8638442274809692
