Feature,H_Statistic,P_Value,Significant
Avg_Order_Value,1235.259743634948,1.3257598291058344e-270,Yes
Total_Spending,1232.7920941522239,4.557657182595458e-270,Yes
M_Score,1190.119057674934,8.564675739450651e-261,Yes
CLV_Estimate,1144.5441738871073,6.880748004552929e-251,Yes
Income,1090.3454637708714,4.142394524814551e-239,Yes
Engagement_Score,649.1103188044194,3.4881849154697604e-143,Yes
Total_Purchases,588.0094575270371,6.79017676764996e-130,Yes
F_Score,582.364283795753,1.1476320580669501e-128,Yes
Campaign_Acceptance_Rate,358.45905750408343,6.097077667425431e-80,Yes
Customer_Tenure_Days,12.774312759235556,0.00035141169875989466,Yes
Age,10.904309551130089,0.0009594079317292157,Yes
R_Score,0.48092608561937117,0.48800313709989596,No
