Cluster,Customer_Count,Avg_Age,Avg_Income,Avg_Spending,Median_Spending,Total_Revenue,Avg_Purchases,Avg_Order_Value,Avg_Tenure_Days,Avg_Campaign_Acceptance,Avg_Engagement_Score,Avg_CLV,Total_CLV,Avg_Stability,Pct_High_Spenders,Pct_Active,Pct_Campaign_Responders,Pct_Has_Children,Cluster_Name,Pct_of_Total
About to Sleep,107,52.0,31886.19,45.93,42.0,4914,5.76,7.06,316.06,0.02,7.38,45.9,4911.24,1.0,0.0,1.0,0.11,0.92,Segment About to Sleep,4.8
At Risk,275,57.14,53490.14,532.32,482.0,146389,15.73,30.22,368.47,0.04,17.3,615.13,169160.95,0.86,0.09,0.71,0.19,0.74,Segment At Risk,12.34
Cannot Lose Them,239,56.66,71378.73,1367.33,1327.0,326793,23.78,57.29,418.44,0.14,26.26,1734.51,414548.04,0.82,0.77,0.77,0.43,0.48,Segment Cannot Lose Them,10.72
Champions,277,56.36,70428.21,1223.26,1155.0,338843,23.62,51.34,388.61,0.15,26.3,1502.66,416237.52,0.79,0.59,1.0,0.49,0.53,Segment Champions,12.43
Hibernating,123,52.02,34177.11,70.55,47.0,8678,6.11,8.61,297.38,0.01,7.46,78.96,9711.66,0.99,0.02,0.56,0.06,0.87,Segment Hibernating,5.52
Loyal Customers,244,57.32,64267.72,951.64,835.0,232201,22.39,40.48,375.45,0.1,24.57,1148.84,280317.08,0.8,0.37,1.0,0.4,0.7,Segment Loyal Customers,10.95
Need Attention,158,55.04,43220.96,243.02,235.5,38397,12.59,17.11,347.47,0.03,14.13,266.43,42095.76,0.94,0.0,1.0,0.13,0.85,Segment Need Attention,7.09
New Customers,224,52.03,31949.32,43.47,41.5,9738,5.41,6.85,286.22,0.04,7.2,42.41,9500.46,0.99,0.0,1.0,0.17,0.85,Segment New Customers,10.05
Others,70,58.61,67821.85,1240.97,1234.0,86868,16.09,84.6,342.09,0.14,18.49,1406.78,98474.63,0.88,0.64,0.89,0.39,0.31,Segment Others,3.14
Potential Loyalists,335,54.56,47688.51,435.04,258.0,145739,12.64,28.29,354.52,0.07,14.58,510.34,170963.12,0.93,0.15,1.0,0.28,0.74,Segment Potential Loyalists,15.03
Promising,177,52.53,32634.39,63.23,49.0,11191,6.78,7.75,315.57,0.02,8.33,66.73,11811.04,0.99,0.0,1.0,0.11,0.9,Segment Promising,7.94
